Family,Abbreviation,Name,Probe,Accession
Deltaretrovirus,BLV,BLV,G4,BFM31448.1
Deltaretrovirus,HTLV-1,HTLV-1,HBZ,BAX35088.1
Deltaretrovirus,HTLV-1,HTLV-1,P12,AAZ22381.1
Deltaretrovirus,HTLV-1,HTLV-1,P30,QXU57409.1
Deltaretrovirus,HTLV-1,HTLV-1,P13,QXU57412.1
Lentivirus,HIV-2,HIV-2,TAT,NP_056842.1
Lentivirus,HIV-2,HIV-2,NEF,NP_056845.1
Lentivirus,HIV-2,HIV-2,VIF,NP_056839.1
Lentivirus,HIV-2,HIV-2,VPR,NP_056841.1
Deltaretrovirus,HTLV-4,HTLV-4,TAX,YP_002455788.1
Deltaretrovirus,HTLV-4,HTLV-4,REX,YP_002455787.1
Deltaretrovirus,Human T-cell leukemia virus type I,Human T-cell leukemia virus type I,P40,NP_057864
Deltaretrovirus,Human T-cell leukemia virus type I,Human T-cell leukemia virus type I,P27,NP_057863.1
Betaretrovirus,MMTV,MMTV,Pr48,NP_056884.1
Lentivirus,CAEV,CAEV,Protein S,NP_040941.1
Lentivirus,CAEV,CAEV,Protein Q,NP_040940.1
Spumaretrovirus,SFV,SFV,TAF,NP_056805.1
Spumaretrovirus,SFV,SFV,BEL2,YP_009508585.1
Gammaretrovirus,FLV,FLV,P15E,NP_955582.1
Betaretrovirus,MMTV,MMTV,Pr160,NP_056880.1
Betaretrovirus,MMTV,MMTV,Pr77,NP_056882.1
Betaretrovirus,MMTV,MMTV,gPr73,NP_056883.1
Lentivirus,EIAV,EIAV,POL,NP_056902.1
Lentivirus,EIAV,EIAV,GAG,NP_056901.1
Other,EIAV,EIAV,ENV,YP_010360050.1
Lentivirus,CAEV,CAEV,POL,NP_040939.1
Lentivirus,CAEV,CAEV,GAG,NP_040938.1
Lentivirus,CAEV,CAEV,ENV,NP_040942.1
Deltaretrovirus,HTLV-4,HTLV-4,POL,YP_002455786.1
Deltaretrovirus,HTLV-4,HTLV-4,GAG,YP_002455784.1
Deltaretrovirus,HTLV-4,HTLV-4,ENV,YP_002455789.1
